cohortDefinitionId,ruleSequence,name
231101000,7,No prior insulin use or combo initiation
231102000,0,No prior with-in class exposure
231102000,1,No prior DPP4 inhibitor exposure
231102000,2,No prior SGLT-2 inhibitor exposure
231102000,3,No prior SU exposure
231102000,4,No prior other anti-diabetic exposure
231102000,5,Male stratum
231102000,6,Prior metformin use
231102000,7,No prior insulin use or combo initiation
231100100,0,No prior with-in class exposure
231100100,1,No prior DPP4 inhibitor exposure
231100100,2,No prior SGLT-2 inhibitor exposure
231100100,3,No prior SU exposure
231100100,4,No prior other anti-diabetic exposure
231100100,5,Race stratum
231100100,6,Prior metformin use
231100100,7,No prior insulin use or combo initiation
231100001,0,No prior with-in class exposure
231100001,1,No prior DPP4 inhibitor exposure
231100001,2,No prior SGLT-2 inhibitor exposure
231100001,3,No prior SU exposure
231100001,4,No prior other anti-diabetic exposure
231100001,5,Without renal impairment
231100001,6,Prior metformin use
231100001,7,No prior insulin use or combo initiation
231100002,0,No prior with-in class exposure
231100002,1,No prior DPP4 inhibitor exposure
231100002,2,No prior SGLT-2 inhibitor exposure
231100002,3,No prior SU exposure
231100002,4,No prior other anti-diabetic exposure
231100002,5,Renal impairment
231100002,6,Prior metformin use
231100002,7,No prior insulin use or combo initiation
232100000,0,No prior with-in class exposure
232100000,1,No prior DPP4 inhibitor exposure
232100000,2,No prior SGLT-2 inhibitor exposure
232100000,3,No prior SU exposure
232100000,4,No prior other anti-diabetic exposure
232100000,5,Prior metformin use
232100000,6,No prior insulin use or combo initiation
232110000,0,No prior with-in class exposure
232110000,1,No prior DPP4 inhibitor exposure
232110000,2,No prior SGLT-2 inhibitor exposure
232110000,3,No prior SU exposure
232110000,4,No prior other anti-diabetic exposure
232110000,5,Lower age group
232110000,6,Prior metformin use
232110000,7,No prior insulin use or combo initiation
232120000,0,No prior with-in class exposure
232120000,1,No prior DPP4 inhibitor exposure
232120000,2,No prior SGLT-2 inhibitor exposure
232120000,3,No prior SU exposure
232120000,4,No prior other anti-diabetic exposure
232120000,5,Middle age group
232120000,6,Prior metformin use
232120000,7,No prior insulin use or combo initiation
232130000,0,No prior with-in class exposure
232130000,1,No prior DPP4 inhibitor exposure
232130000,2,No prior SGLT-2 inhibitor exposure
232130000,3,No prior SU exposure
232130000,4,No prior other anti-diabetic exposure
232130000,5,Older age group
232130000,6,Prior metformin use
232130000,7,No prior insulin use or combo initiation
232100010,0,No prior with-in class exposure
232100010,1,No prior DPP4 inhibitor exposure
232100010,2,No prior SGLT-2 inhibitor exposure
232100010,3,No prior SU exposure
232100010,4,No prior other anti-diabetic exposure
232100010,5,Low cardiovascular risk
232100010,6,Prior metformin use
232100010,7,No prior insulin use or combo initiation
232100020,0,No prior with-in class exposure
232100020,1,No prior DPP4 inhibitor exposure
232100020,2,No prior SGLT-2 inhibitor exposure
232100020,3,No prior SU exposure
232100020,4,No prior other anti-diabetic exposure
232100020,5,Higher cardiovascular risk
232100020,6,Prior metformin use
232100020,7,No prior insulin use or combo initiation
232101000,0,No prior with-in class exposure
232101000,1,No prior DPP4 inhibitor exposure
232101000,2,No prior SGLT-2 inhibitor exposure
232101000,3,No prior SU exposure
232101000,4,No prior other anti-diabetic exposure
232101000,5,Female stratum
232101000,6,Prior metformin use
232101000,7,No prior insulin use or combo initiation
232102000,0,No prior with-in class exposure
232102000,1,No prior DPP4 inhibitor exposure
232102000,2,No prior SGLT-2 inhibitor exposure
232102000,3,No prior SU exposure
232102000,4,No prior other anti-diabetic exposure
232102000,5,Male stratum
232102000,6,Prior metformin use
232102000,7,No prior insulin use or combo initiation
232100100,0,No prior with-in class exposure
232100100,1,No prior DPP4 inhibitor exposure
232100100,2,No prior SGLT-2 inhibitor exposure
232100100,3,No prior SU exposure
232100100,4,No prior other anti-diabetic exposure
232100100,5,Race stratum
232100100,6,Prior metformin use
232100100,7,No prior insulin use or combo initiation
232100001,0,No prior with-in class exposure
232100001,1,No prior DPP4 inhibitor exposure
232100001,2,No prior SGLT-2 inhibitor exposure
232100001,3,No prior SU exposure
232100001,4,No prior other anti-diabetic exposure
232100001,5,Without renal impairment
232100001,6,Prior metformin use
232100001,7,No prior insulin use or combo initiation
232100002,0,No prior with-in class exposure
232100002,1,No prior DPP4 inhibitor exposure
232100002,2,No prior SGLT-2 inhibitor exposure
232100002,3,No prior SU exposure
232100002,4,No prior other anti-diabetic exposure
232100002,5,Renal impairment
232100002,6,Prior metformin use
232100002,7,No prior insulin use or combo initiation
231200000,0,No prior with-in class exposure
231200000,1,No prior DPP4 inhibitor exposure
231200000,2,No prior SGLT-2 inhibitor exposure
231200000,3,No prior SU exposure
231200000,4,No prior other anti-diabetic exposure
231200000,5,No prior metformin use
231200000,6,No prior insulin use or combo initiation
231210000,0,No prior with-in class exposure
231210000,1,No prior DPP4 inhibitor exposure
231210000,2,No prior SGLT-2 inhibitor exposure
231210000,3,No prior SU exposure
231210000,4,No prior other anti-diabetic exposure
231210000,5,Lower age group
231210000,6,No prior metformin use
231210000,7,No prior insulin use or combo initiation
231220000,0,No prior with-in class exposure
231220000,1,No prior DPP4 inhibitor exposure
231220000,2,No prior SGLT-2 inhibitor exposure
231220000,3,No prior SU exposure
231220000,4,No prior other anti-diabetic exposure
231220000,5,Middle age group
231220000,6,No prior metformin use
231220000,7,No prior insulin use or combo initiation
231230000,0,No prior with-in class exposure
231230000,1,No prior DPP4 inhibitor exposure
231230000,2,No prior SGLT-2 inhibitor exposure
231230000,3,No prior SU exposure
231230000,4,No prior other anti-diabetic exposure
231230000,5,Older age group
231230000,6,No prior metformin use
231230000,7,No prior insulin use or combo initiation
231200010,0,No prior with-in class exposure
231200010,1,No prior DPP4 inhibitor exposure
231200010,2,No prior SGLT-2 inhibitor exposure
231200010,3,No prior SU exposure
231200010,4,No prior other anti-diabetic exposure
231200010,5,Low cardiovascular risk
231200010,6,No prior metformin use
231200010,7,No prior insulin use or combo initiation
231200020,0,No prior with-in class exposure
231200020,1,No prior DPP4 inhibitor exposure
231200020,2,No prior SGLT-2 inhibitor exposure
231200020,3,No prior SU exposure
231200020,4,No prior other anti-diabetic exposure
231200020,5,Higher cardiovascular risk
231200020,6,No prior metformin use
231200020,7,No prior insulin use or combo initiation
231201000,0,No prior with-in class exposure
231201000,1,No prior DPP4 inhibitor exposure
231201000,2,No prior SGLT-2 inhibitor exposure
231201000,3,No prior SU exposure
231201000,4,No prior other anti-diabetic exposure
231201000,5,Female stratum
231201000,6,No prior metformin use
231201000,7,No prior insulin use or combo initiation
231202000,0,No prior with-in class exposure
231202000,1,No prior DPP4 inhibitor exposure
231202000,2,No prior SGLT-2 inhibitor exposure
231202000,3,No prior SU exposure
231202000,4,No prior other anti-diabetic exposure
231202000,5,Male stratum
231202000,6,No prior metformin use
231202000,7,No prior insulin use or combo initiation
231200100,0,No prior with-in class exposure
231200100,1,No prior DPP4 inhibitor exposure
231200100,2,No prior SGLT-2 inhibitor exposure
231200100,3,No prior SU exposure
231200100,4,No prior other anti-diabetic exposure
231200100,5,Race stratum
231200100,6,No prior metformin use
231200100,7,No prior insulin use or combo initiation
231200001,0,No prior with-in class exposure
231200001,1,No prior DPP4 inhibitor exposure
231200001,2,No prior SGLT-2 inhibitor exposure
231200001,3,No prior SU exposure
231200001,4,No prior other anti-diabetic exposure
231200001,5,Without renal impairment
231200001,6,No prior metformin use
231200001,7,No prior insulin use or combo initiation
231200002,0,No prior with-in class exposure
231200002,1,No prior DPP4 inhibitor exposure
231200002,2,No prior SGLT-2 inhibitor exposure
231200002,3,No prior SU exposure
231200002,4,No prior other anti-diabetic exposure
231200002,5,Renal impairment
231200002,6,No prior metformin use
231200002,7,No prior insulin use or combo initiation
232200000,0,No prior with-in class exposure
232200000,1,No prior DPP4 inhibitor exposure
232200000,2,No prior SGLT-2 inhibitor exposure
232200000,3,No prior SU exposure
232200000,4,No prior other anti-diabetic exposure
232200000,5,No prior metformin use
232200000,6,No prior insulin use or combo initiation
232210000,0,No prior with-in class exposure
232210000,1,No prior DPP4 inhibitor exposure
232210000,2,No prior SGLT-2 inhibitor exposure
232210000,3,No prior SU exposure
232210000,4,No prior other anti-diabetic exposure
232210000,5,Lower age group
232210000,6,No prior metformin use
232210000,7,No prior insulin use or combo initiation
232220000,0,No prior with-in class exposure
232220000,1,No prior DPP4 inhibitor exposure
232220000,2,No prior SGLT-2 inhibitor exposure
232220000,3,No prior SU exposure
232220000,4,No prior other anti-diabetic exposure
232220000,5,Middle age group
232220000,6,No prior metformin use
232220000,7,No prior insulin use or combo initiation
232230000,0,No prior with-in class exposure
232230000,1,No prior DPP4 inhibitor exposure
232230000,2,No prior SGLT-2 inhibitor exposure
232230000,3,No prior SU exposure
232230000,4,No prior other anti-diabetic exposure
232230000,5,Older age group
232230000,6,No prior metformin use
232230000,7,No prior insulin use or combo initiation
232200010,0,No prior with-in class exposure
232200010,1,No prior DPP4 inhibitor exposure
232200010,2,No prior SGLT-2 inhibitor exposure
232200010,3,No prior SU exposure
232200010,4,No prior other anti-diabetic exposure
232200010,5,Low cardiovascular risk
232200010,6,No prior metformin use
232200010,7,No prior insulin use or combo initiation
232200020,0,No prior with-in class exposure
232200020,1,No prior DPP4 inhibitor exposure
232200020,2,No prior SGLT-2 inhibitor exposure
232200020,3,No prior SU exposure
232200020,4,No prior other anti-diabetic exposure
232200020,5,Higher cardiovascular risk
232200020,6,No prior metformin use
232200020,7,No prior insulin use or combo initiation
232201000,0,No prior with-in class exposure
232201000,1,No prior DPP4 inhibitor exposure
232201000,2,No prior SGLT-2 inhibitor exposure
232201000,3,No prior SU exposure
232201000,4,No prior other anti-diabetic exposure
232201000,5,Female stratum
232201000,6,No prior metformin use
232201000,7,No prior insulin use or combo initiation
232202000,0,No prior with-in class exposure
232202000,1,No prior DPP4 inhibitor exposure
232202000,2,No prior SGLT-2 inhibitor exposure
232202000,3,No prior SU exposure
232202000,4,No prior other anti-diabetic exposure
232202000,5,Male stratum
232202000,6,No prior metformin use
232202000,7,No prior insulin use or combo initiation
232200100,0,No prior with-in class exposure
232200100,1,No prior DPP4 inhibitor exposure
232200100,2,No prior SGLT-2 inhibitor exposure
232200100,3,No prior SU exposure
232200100,4,No prior other anti-diabetic exposure
232200100,5,Race stratum
232200100,6,No prior metformin use
232200100,7,No prior insulin use or combo initiation
232200001,0,No prior with-in class exposure
232200001,1,No prior DPP4 inhibitor exposure
232200001,2,No prior SGLT-2 inhibitor exposure
232200001,3,No prior SU exposure
232200001,4,No prior other anti-diabetic exposure
232200001,5,Without renal impairment
232200001,6,No prior metformin use
232200001,7,No prior insulin use or combo initiation
232200002,0,No prior with-in class exposure
232200002,1,No prior DPP4 inhibitor exposure
232200002,2,No prior SGLT-2 inhibitor exposure
232200002,3,No prior SU exposure
232200002,4,No prior other anti-diabetic exposure
232200002,5,Renal impairment
232200002,6,No prior metformin use
232200002,7,No prior insulin use or combo initiation
241100000,0,No prior with-in class exposure
241100000,1,No prior DPP4 inhibitor exposure
241100000,2,No prior SGLT-2 inhibitor exposure
241100000,3,No prior SU exposure
241100000,4,No prior other anti-diabetic exposure
241100000,5,Prior metformin use
241100000,6,No prior insulin use or combo initiation
241110000,0,No prior with-in class exposure
241110000,1,No prior DPP4 inhibitor exposure
241110000,2,No prior SGLT-2 inhibitor exposure
241110000,3,No prior SU exposure
241110000,4,No prior other anti-diabetic exposure
241110000,5,Lower age group
241110000,6,Prior metformin use
241110000,7,No prior insulin use or combo initiation
241120000,0,No prior with-in class exposure
241120000,1,No prior DPP4 inhibitor exposure
241120000,2,No prior SGLT-2 inhibitor exposure
241120000,3,No prior SU exposure
241120000,4,No prior other anti-diabetic exposure
241120000,5,Middle age group
241120000,6,Prior metformin use
241120000,7,No prior insulin use or combo initiation
241130000,0,No prior with-in class exposure
241130000,1,No prior DPP4 inhibitor exposure
241130000,2,No prior SGLT-2 inhibitor exposure
241130000,3,No prior SU exposure
241130000,4,No prior other anti-diabetic exposure
241130000,5,Older age group
241130000,6,Prior metformin use
241130000,7,No prior insulin use or combo initiation
241100010,0,No prior with-in class exposure
241100010,1,No prior DPP4 inhibitor exposure
241100010,2,No prior SGLT-2 inhibitor exposure
241100010,3,No prior SU exposure
241100010,4,No prior other anti-diabetic exposure
241100010,5,Low cardiovascular risk
241100010,6,Prior metformin use
241100010,7,No prior insulin use or combo initiation
241100020,0,No prior with-in class exposure
241100020,1,No prior DPP4 inhibitor exposure
241100020,2,No prior SGLT-2 inhibitor exposure
241100020,3,No prior SU exposure
241100020,4,No prior other anti-diabetic exposure
241100020,5,Higher cardiovascular risk
241100020,6,Prior metformin use
241100020,7,No prior insulin use or combo initiation
241101000,0,No prior with-in class exposure
241101000,1,No prior DPP4 inhibitor exposure
241101000,2,No prior SGLT-2 inhibitor exposure
241101000,3,No prior SU exposure
241101000,4,No prior other anti-diabetic exposure
241101000,5,Female stratum
241101000,6,Prior metformin use
241101000,7,No prior insulin use or combo initiation
241102000,0,No prior with-in class exposure
241102000,1,No prior DPP4 inhibitor exposure
241102000,2,No prior SGLT-2 inhibitor exposure
241102000,3,No prior SU exposure
241102000,4,No prior other anti-diabetic exposure
241102000,5,Male stratum
241102000,6,Prior metformin use
241102000,7,No prior insulin use or combo initiation
241100100,0,No prior with-in class exposure
241100100,1,No prior DPP4 inhibitor exposure
241100100,2,No prior SGLT-2 inhibitor exposure
241100100,3,No prior SU exposure
241100100,4,No prior other anti-diabetic exposure
241100100,5,Race stratum
241100100,6,Prior metformin use
241100100,7,No prior insulin use or combo initiation
241100001,0,No prior with-in class exposure
241100001,1,No prior DPP4 inhibitor exposure
241100001,2,No prior SGLT-2 inhibitor exposure
241100001,3,No prior SU exposure
241100001,4,No prior other anti-diabetic exposure
241100001,5,Without renal impairment
241100001,6,Prior metformin use
241100001,7,No prior insulin use or combo initiation
241100002,0,No prior with-in class exposure
241100002,1,No prior DPP4 inhibitor exposure
241100002,2,No prior SGLT-2 inhibitor exposure
241100002,3,No prior SU exposure
241100002,4,No prior other anti-diabetic exposure
241100002,5,Renal impairment
241100002,6,Prior metformin use
241100002,7,No prior insulin use or combo initiation
242100000,0,No prior with-in class exposure
242100000,1,No prior DPP4 inhibitor exposure
242100000,2,No prior SGLT-2 inhibitor exposure
242100000,3,No prior SU exposure
242100000,4,No prior other anti-diabetic exposure
242100000,5,Prior metformin use
242100000,6,No prior insulin use or combo initiation
242110000,0,No prior with-in class exposure
242110000,1,No prior DPP4 inhibitor exposure
242110000,2,No prior SGLT-2 inhibitor exposure
242110000,3,No prior SU exposure
242110000,4,No prior other anti-diabetic exposure
242110000,5,Lower age group
242110000,6,Prior metformin use
242110000,7,No prior insulin use or combo initiation
242120000,0,No prior with-in class exposure
242120000,1,No prior DPP4 inhibitor exposure
242120000,2,No prior SGLT-2 inhibitor exposure
242120000,3,No prior SU exposure
242120000,4,No prior other anti-diabetic exposure
242120000,5,Middle age group
242120000,6,Prior metformin use
242120000,7,No prior insulin use or combo initiation
242130000,0,No prior with-in class exposure
242130000,1,No prior DPP4 inhibitor exposure
242130000,2,No prior SGLT-2 inhibitor exposure
242130000,3,No prior SU exposure
242130000,4,No prior other anti-diabetic exposure
242130000,5,Older age group
242130000,6,Prior metformin use
242130000,7,No prior insulin use or combo initiation
242100010,0,No prior with-in class exposure
242100010,1,No prior DPP4 inhibitor exposure
242100010,2,No prior SGLT-2 inhibitor exposure
242100010,3,No prior SU exposure
242100010,4,No prior other anti-diabetic exposure
242100010,5,Low cardiovascular risk
242100010,6,Prior metformin use
242100010,7,No prior insulin use or combo initiation
242100020,0,No prior with-in class exposure
242100020,1,No prior DPP4 inhibitor exposure
242100020,2,No prior SGLT-2 inhibitor exposure
242100020,3,No prior SU exposure
242100020,4,No prior other anti-diabetic exposure
242100020,5,Higher cardiovascular risk
242100020,6,Prior metformin use
242100020,7,No prior insulin use or combo initiation
242101000,0,No prior with-in class exposure
242101000,1,No prior DPP4 inhibitor exposure
242101000,2,No prior SGLT-2 inhibitor exposure
242101000,3,No prior SU exposure
242101000,4,No prior other anti-diabetic exposure
242101000,5,Female stratum
242101000,6,Prior metformin use
242101000,7,No prior insulin use or combo initiation
242102000,0,No prior with-in class exposure
242102000,1,No prior DPP4 inhibitor exposure
242102000,2,No prior SGLT-2 inhibitor exposure
242102000,3,No prior SU exposure
242102000,4,No prior other anti-diabetic exposure
242102000,5,Male stratum
242102000,6,Prior metformin use
242102000,7,No prior insulin use or combo initiation
242100100,0,No prior with-in class exposure
242100100,1,No prior DPP4 inhibitor exposure
242100100,2,No prior SGLT-2 inhibitor exposure
242100100,3,No prior SU exposure
242100100,4,No prior other anti-diabetic exposure
242100100,5,Race stratum
242100100,6,Prior metformin use
242100100,7,No prior insulin use or combo initiation
242100001,0,No prior with-in class exposure
242100001,1,No prior DPP4 inhibitor exposure
242100001,2,No prior SGLT-2 inhibitor exposure
242100001,3,No prior SU exposure
242100001,4,No prior other anti-diabetic exposure
242100001,5,Without renal impairment
242100001,6,Prior metformin use
242100001,7,No prior insulin use or combo initiation
242100002,0,No prior with-in class exposure
242100002,1,No prior DPP4 inhibitor exposure
242100002,2,No prior SGLT-2 inhibitor exposure
242100002,3,No prior SU exposure
242100002,4,No prior other anti-diabetic exposure
242100002,5,Renal impairment
242100002,6,Prior metformin use
242100002,7,No prior insulin use or combo initiation
241200000,0,No prior with-in class exposure
241200000,1,No prior DPP4 inhibitor exposure
241200000,2,No prior SGLT-2 inhibitor exposure
241200000,3,No prior SU exposure
241200000,4,No prior other anti-diabetic exposure
241200000,5,No prior metformin use
241200000,6,No prior insulin use or combo initiation
241210000,0,No prior with-in class exposure
241210000,1,No prior DPP4 inhibitor exposure
241210000,2,No prior SGLT-2 inhibitor exposure
241210000,3,No prior SU exposure
241210000,4,No prior other anti-diabetic exposure
241210000,5,Lower age group
241210000,6,No prior metformin use
241210000,7,No prior insulin use or combo initiation
241220000,0,No prior with-in class exposure
241220000,1,No prior DPP4 inhibitor exposure
241220000,2,No prior SGLT-2 inhibitor exposure
241220000,3,No prior SU exposure
241220000,4,No prior other anti-diabetic exposure
241220000,5,Middle age group
241220000,6,No prior metformin use
241220000,7,No prior insulin use or combo initiation
241230000,0,No prior with-in class exposure
241230000,1,No prior DPP4 inhibitor exposure
241230000,2,No prior SGLT-2 inhibitor exposure
241230000,3,No prior SU exposure
241230000,4,No prior other anti-diabetic exposure
241230000,5,Older age group
241230000,6,No prior metformin use
241230000,7,No prior insulin use or combo initiation
241200010,0,No prior with-in class exposure
241200010,1,No prior DPP4 inhibitor exposure
241200010,2,No prior SGLT-2 inhibitor exposure
241200010,3,No prior SU exposure
241200010,4,No prior other anti-diabetic exposure
241200010,5,Low cardiovascular risk
241200010,6,No prior metformin use
241200010,7,No prior insulin use or combo initiation
241200020,0,No prior with-in class exposure
241200020,1,No prior DPP4 inhibitor exposure
241200020,2,No prior SGLT-2 inhibitor exposure
241200020,3,No prior SU exposure
241200020,4,No prior other anti-diabetic exposure
241200020,5,Higher cardiovascular risk
241200020,6,No prior metformin use
241200020,7,No prior insulin use or combo initiation
241201000,0,No prior with-in class exposure
241201000,1,No prior DPP4 inhibitor exposure
241201000,2,No prior SGLT-2 inhibitor exposure
241201000,3,No prior SU exposure
241201000,4,No prior other anti-diabetic exposure
241201000,5,Female stratum
241201000,6,No prior metformin use
241201000,7,No prior insulin use or combo initiation
241202000,0,No prior with-in class exposure
241202000,1,No prior DPP4 inhibitor exposure
241202000,2,No prior SGLT-2 inhibitor exposure
241202000,3,No prior SU exposure
241202000,4,No prior other anti-diabetic exposure
241202000,5,Male stratum
241202000,6,No prior metformin use
241202000,7,No prior insulin use or combo initiation
241200100,0,No prior with-in class exposure
241200100,1,No prior DPP4 inhibitor exposure
241200100,2,No prior SGLT-2 inhibitor exposure
241200100,3,No prior SU exposure
241200100,4,No prior other anti-diabetic exposure
241200100,5,Race stratum
241200100,6,No prior metformin use
241200100,7,No prior insulin use or combo initiation
241200001,0,No prior with-in class exposure
241200001,1,No prior DPP4 inhibitor exposure
241200001,2,No prior SGLT-2 inhibitor exposure
241200001,3,No prior SU exposure
241200001,4,No prior other anti-diabetic exposure
241200001,5,Without renal impairment
241200001,6,No prior metformin use
241200001,7,No prior insulin use or combo initiation
241200002,0,No prior with-in class exposure
241200002,1,No prior DPP4 inhibitor exposure
241200002,2,No prior SGLT-2 inhibitor exposure
241200002,3,No prior SU exposure
241200002,4,No prior other anti-diabetic exposure
241200002,5,Renal impairment
241200002,6,No prior metformin use
241200002,7,No prior insulin use or combo initiation
242200000,0,No prior with-in class exposure
242200000,1,No prior DPP4 inhibitor exposure
242200000,2,No prior SGLT-2 inhibitor exposure
242200000,3,No prior SU exposure
242200000,4,No prior other anti-diabetic exposure
242200000,5,No prior metformin use
242200000,6,No prior insulin use or combo initiation
242210000,0,No prior with-in class exposure
242210000,1,No prior DPP4 inhibitor exposure
242210000,2,No prior SGLT-2 inhibitor exposure
242210000,3,No prior SU exposure
242210000,4,No prior other anti-diabetic exposure
242210000,5,Lower age group
242210000,6,No prior metformin use
242210000,7,No prior insulin use or combo initiation
242220000,0,No prior with-in class exposure
242220000,1,No prior DPP4 inhibitor exposure
242220000,2,No prior SGLT-2 inhibitor exposure
242220000,3,No prior SU exposure
242220000,4,No prior other anti-diabetic exposure
242220000,5,Middle age group
242220000,6,No prior metformin use
242220000,7,No prior insulin use or combo initiation
242230000,0,No prior with-in class exposure
242230000,1,No prior DPP4 inhibitor exposure
242230000,2,No prior SGLT-2 inhibitor exposure
242230000,3,No prior SU exposure
242230000,4,No prior other anti-diabetic exposure
242230000,5,Older age group
242230000,6,No prior metformin use
242230000,7,No prior insulin use or combo initiation
242200010,0,No prior with-in class exposure
242200010,1,No prior DPP4 inhibitor exposure
242200010,2,No prior SGLT-2 inhibitor exposure
242200010,3,No prior SU exposure
242200010,4,No prior other anti-diabetic exposure
242200010,5,Low cardiovascular risk
242200010,6,No prior metformin use
242200010,7,No prior insulin use or combo initiation
242200020,0,No prior with-in class exposure
242200020,1,No prior DPP4 inhibitor exposure
242200020,2,No prior SGLT-2 inhibitor exposure
242200020,3,No prior SU exposure
242200020,4,No prior other anti-diabetic exposure
242200020,5,Higher cardiovascular risk
242200020,6,No prior metformin use
242200020,7,No prior insulin use or combo initiation
242201000,0,No prior with-in class exposure
242201000,1,No prior DPP4 inhibitor exposure
242201000,2,No prior SGLT-2 inhibitor exposure
242201000,3,No prior SU exposure
242201000,4,No prior other anti-diabetic exposure
242201000,5,Female stratum
242201000,6,No prior metformin use
242201000,7,No prior insulin use or combo initiation
242202000,0,No prior with-in class exposure
242202000,1,No prior DPP4 inhibitor exposure
242202000,2,No prior SGLT-2 inhibitor exposure
242202000,3,No prior SU exposure
242202000,4,No prior other anti-diabetic exposure
242202000,5,Male stratum
242202000,6,No prior metformin use
242202000,7,No prior insulin use or combo initiation
242200100,0,No prior with-in class exposure
242200100,1,No prior DPP4 inhibitor exposure
242200100,2,No prior SGLT-2 inhibitor exposure
242200100,3,No prior SU exposure
242200100,4,No prior other anti-diabetic exposure
242200100,5,Race stratum
242200100,6,No prior metformin use
242200100,7,No prior insulin use or combo initiation
242200001,0,No prior with-in class exposure
242200001,1,No prior DPP4 inhibitor exposure
242200001,2,No prior SGLT-2 inhibitor exposure
242200001,3,No prior SU exposure
242200001,4,No prior other anti-diabetic exposure
242200001,5,Without renal impairment
242200001,6,No prior metformin use
242200001,7,No prior insulin use or combo initiation
242200002,0,No prior with-in class exposure
242200002,1,No prior DPP4 inhibitor exposure
242200002,2,No prior SGLT-2 inhibitor exposure
242200002,3,No prior SU exposure
242200002,4,No prior other anti-diabetic exposure
242200002,5,Renal impairment
242200002,6,No prior metformin use
242200002,7,No prior insulin use or combo initiation
251100000,0,No prior with-in class exposure
251100000,1,No prior DPP4 inhibitor exposure
251100000,2,No prior SGLT-2 inhibitor exposure
251100000,3,No prior SU exposure
251100000,4,No prior other anti-diabetic exposure
251100000,5,Prior metformin use
251100000,6,No prior insulin use or combo initiation
251110000,0,No prior with-in class exposure
251110000,1,No prior DPP4 inhibitor exposure
251110000,2,No prior SGLT-2 inhibitor exposure
251110000,3,No prior SU exposure
251110000,4,No prior other anti-diabetic exposure
251110000,5,Lower age group
251110000,6,Prior metformin use
251110000,7,No prior insulin use or combo initiation
251120000,0,No prior with-in class exposure
251120000,1,No prior DPP4 inhibitor exposure
251120000,2,No prior SGLT-2 inhibitor exposure
251120000,3,No prior SU exposure
262120000,3,No prior SU exposure
251120000,4,No prior other anti-diabetic exposure
251120000,5,Middle age group
251120000,6,Prior metformin use
251120000,7,No prior insulin use or combo initiation
251130000,0,No prior with-in class exposure
251130000,1,No prior DPP4 inhibitor exposure
251130000,2,No prior SGLT-2 inhibitor exposure
251130000,3,No prior SU exposure
251130000,4,No prior other anti-diabetic exposure
251130000,5,Older age group
251130000,6,Prior metformin use
251130000,7,No prior insulin use or combo initiation
251100010,0,No prior with-in class exposure
251100010,1,No prior DPP4 inhibitor exposure
251100010,2,No prior SGLT-2 inhibitor exposure
251100010,3,No prior SU exposure
251100010,4,No prior other anti-diabetic exposure
251100010,5,Low cardiovascular risk
251100010,6,Prior metformin use
251100010,7,No prior insulin use or combo initiation
251100020,0,No prior with-in class exposure
251100020,1,No prior DPP4 inhibitor exposure
251100020,2,No prior SGLT-2 inhibitor exposure
251100020,3,No prior SU exposure
251100020,4,No prior other anti-diabetic exposure
251100020,5,Higher cardiovascular risk
251100020,6,Prior metformin use
251100020,7,No prior insulin use or combo initiation
251101000,0,No prior with-in class exposure
251101000,1,No prior DPP4 inhibitor exposure
251101000,2,No prior SGLT-2 inhibitor exposure
251101000,3,No prior SU exposure
251101000,4,No prior other anti-diabetic exposure
251101000,5,Female stratum
251101000,6,Prior metformin use
251101000,7,No prior insulin use or combo initiation
251102000,0,No prior with-in class exposure
251102000,1,No prior DPP4 inhibitor exposure
251102000,2,No prior SGLT-2 inhibitor exposure
251102000,3,No prior SU exposure
251102000,4,No prior other anti-diabetic exposure
251102000,5,Male stratum
251102000,6,Prior metformin use
251102000,7,No prior insulin use or combo initiation
251100100,0,No prior with-in class exposure
251100100,1,No prior DPP4 inhibitor exposure
251100100,2,No prior SGLT-2 inhibitor exposure
251100100,3,No prior SU exposure
251100100,4,No prior other anti-diabetic exposure
251100100,5,Race stratum
251100100,6,Prior metformin use
251100100,7,No prior insulin use or combo initiation
251100001,0,No prior with-in class exposure
251100001,1,No prior DPP4 inhibitor exposure
251100001,2,No prior SGLT-2 inhibitor exposure
251100001,3,No prior SU exposure
251100001,4,No prior other anti-diabetic exposure
251100001,5,Without renal impairment
251100001,6,Prior metformin use
251100001,7,No prior insulin use or combo initiation
251100002,0,No prior with-in class exposure
251100002,1,No prior DPP4 inhibitor exposure
251100002,2,No prior SGLT-2 inhibitor exposure
251100002,3,No prior SU exposure
251100002,4,No prior other anti-diabetic exposure
251100002,5,Renal impairment
251100002,6,Prior metformin use
251100002,7,No prior insulin use or combo initiation
252100000,0,No prior with-in class exposure
252100000,1,No prior DPP4 inhibitor exposure
252100000,2,No prior SGLT-2 inhibitor exposure
252100000,3,No prior SU exposure
252100000,4,No prior other anti-diabetic exposure
252100000,5,Prior metformin use
252100000,6,No prior insulin use or combo initiation
252110000,0,No prior with-in class exposure
252110000,1,No prior DPP4 inhibitor exposure
252110000,2,No prior SGLT-2 inhibitor exposure
252110000,3,No prior SU exposure
252110000,4,No prior other anti-diabetic exposure
252110000,5,Lower age group
252110000,6,Prior metformin use
252110000,7,No prior insulin use or combo initiation
252120000,0,No prior with-in class exposure
252120000,1,No prior DPP4 inhibitor exposure
252120000,2,No prior SGLT-2 inhibitor exposure
252120000,3,No prior SU exposure
252120000,4,No prior other anti-diabetic exposure
252120000,5,Middle age group
252120000,6,Prior metformin use
