cohortDefinitionId,ruleSequence,name
3411100,7,No prior insulin use or combo initiation
3411300,0,No prior with-in class exposure
3411300,1,No prior DPP4 inhibitor exposure
3411300,2,No prior GLP-1 receptor agonist exposure
3411300,3,No prior SU exposure
3411300,4,No prior other anti-diabetic exposure
3411300,5,Young age group
3411300,6,No prior metformin use
3411300,7,No prior insulin use or combo initiation
3420000,0,No prior with-in class exposure
3420000,1,No prior DPP4 inhibitor exposure
3420000,2,No prior GLP-1 receptor agonist exposure
3420000,3,No prior SU exposure
3420000,4,No prior other anti-diabetic exposure
3420000,5,Prior metformin use
3420000,6,No prior insulin use or combo initiation
3420001,0,No prior with-in class exposure
3420001,1,No prior DPP4 inhibitor exposure
3420001,2,No prior GLP-1 receptor agonist exposure
3420001,3,No prior SU exposure
3420001,4,No prior other anti-diabetic exposure
3420001,5,Prior metformin use
3420001,6,No prior metformin use
3420001,7,Without obesity
3420002,0,No prior with-in class exposure
3420002,1,No prior DPP4 inhibitor exposure
3420002,2,No prior GLP-1 receptor agonist exposure
3420002,3,No prior SU exposure
3420002,4,No prior other anti-diabetic exposure
3420002,5,Prior metformin use
3420002,6,No prior metformin use
3420002,7,with obesity
3420010,0,No prior with-in class exposure
3420010,1,No prior DPP4 inhibitor exposure
3420010,2,No prior GLP-1 receptor agonist exposure
3420010,3,No prior SU exposure
3420010,4,No prior other anti-diabetic exposure
3420010,5,Female stratum
3420010,6,Prior metformin use
3420010,7,No prior insulin use or combo initiation
3420030,0,No prior with-in class exposure
3420030,1,No prior DPP4 inhibitor exposure
3420030,2,No prior GLP-1 receptor agonist exposure
3420030,3,No prior SU exposure
3420030,4,No prior other anti-diabetic exposure
3420030,5,Male stratum
3420030,6,Prior metformin use
3420030,7,No prior insulin use or combo initiation
3420100,0,No prior with-in class exposure
3420100,1,No prior DPP4 inhibitor exposure
3420100,2,No prior GLP-1 receptor agonist exposure
3420100,3,No prior SU exposure
3420100,4,No prior other anti-diabetic exposure
3420100,5,Lower age group
3420100,6,Prior metformin use
3420100,7,No prior insulin use or combo initiation
3420300,0,No prior with-in class exposure
3420300,1,No prior DPP4 inhibitor exposure
3420300,2,No prior GLP-1 receptor agonist exposure
3420300,3,No prior SU exposure
3420300,4,No prior other anti-diabetic exposure
3420300,5,Young age group
3420300,6,Prior metformin use
3420300,7,No prior insulin use or combo initiation
3421000,0,No prior with-in class exposure
3421000,1,No prior DPP4 inhibitor exposure
3421000,2,No prior GLP-1 receptor agonist exposure
3421000,3,No prior SU exposure
3421000,4,No prior other anti-diabetic exposure
3421000,5,No prior metformin use
3421000,6,No prior insulin use or combo initiation
3421001,0,No prior with-in class exposure
3421001,1,No prior DPP4 inhibitor exposure
3421001,2,No prior GLP-1 receptor agonist exposure
3421001,3,No prior SU exposure
3421001,4,No prior other anti-diabetic exposure
3421001,5,Prior metformin use
3421001,6,No prior insulin use or combo initiation
3421001,7,Without obesity
3421002,0,No prior with-in class exposure
3421002,1,No prior DPP4 inhibitor exposure
3421002,2,No prior GLP-1 receptor agonist exposure
3421002,3,No prior SU exposure
3421002,4,No prior other anti-diabetic exposure
3421002,5,Prior metformin use
3421002,6,No prior insulin use or combo initiation
3421002,7,with obesity
3421010,0,No prior with-in class exposure
3421010,1,No prior DPP4 inhibitor exposure
3421010,2,No prior GLP-1 receptor agonist exposure
3421010,3,No prior SU exposure
3421010,4,No prior other anti-diabetic exposure
3421010,5,Female stratum
3421010,6,No prior metformin use
3421010,7,No prior insulin use or combo initiation
3421030,0,No prior with-in class exposure
3421030,1,No prior DPP4 inhibitor exposure
3421030,2,No prior GLP-1 receptor agonist exposure
3421030,3,No prior SU exposure
3421030,4,No prior other anti-diabetic exposure
3421030,5,Male stratum
3421030,6,No prior metformin use
3421030,7,No prior insulin use or combo initiation
3421100,0,No prior with-in class exposure
3421100,1,No prior DPP4 inhibitor exposure
3421100,2,No prior GLP-1 receptor agonist exposure
3421100,3,No prior SU exposure
3421100,4,No prior other anti-diabetic exposure
3421100,5,Lower age group
3421100,6,No prior metformin use
3421100,7,No prior insulin use or combo initiation
3421300,0,No prior with-in class exposure
3421300,1,No prior DPP4 inhibitor exposure
3421300,2,No prior GLP-1 receptor agonist exposure
3421300,3,No prior SU exposure
3421300,4,No prior other anti-diabetic exposure
3421300,5,Young age group
3421300,6,No prior metformin use
3421300,7,No prior insulin use or combo initiation
